"Gene","Module"
"ADPGK",3
"ADPGK-AS1",0
"ADPRH",0
"ADPRHL1",1
"ADPRM",5
"ADPRS",0
"ADRA1A",1
"ADRA2A",1
"ADRA2B",1
"ADRB1",0
"ADRB2",0
"ADRM1",1
"ADSL",3
"ADSS1",1
"ADSS2",25
"ADTRP",0
"AE000661.37",1
"AEBP1",2
"AEBP2",0
"AEN",2
"AF003626.1",1
"AF011889.5",4
"AF064858.6",0
"AF064858.8",6
"AF124730.4",1
"AF127577.11",0
"AF127577.13",0
"AF127936.3",5
"AF127936.9",39
"AF129075.5",0
"AF131215.2",0
"AF131215.3",0
"AF131215.9",0
"AF131216.6",1
"AF131216.7",16
"AF131217.1",5
"AF228730.14",1
"AF230666.2",0
"AFAP1",3
"AFAP1-AS1",1
"AFAP1L1",0
"AFAP1L2",14
"AFDN",0
"AFDN-DT",1
"AFF1",1
"AFF2",0
"AFF3",1
"AFF4",1
"AFG1L",0
"AFG3L1P",1
"AFG3L2",2
"AFMID",7
"AFTPH",0
"AGA",0
"AGAP1",3
"AGAP12P",0
"AGAP2",1
"AGAP2-AS1",0
"AGAP3",2
"AGAP4",0
"AGAP6",0
"AGAP7P",0
"AGAP9",0
"AGBL3",2
"AGBL5",0
"AGER",1
"AGFG1",0
"AGFG2",7
"AGGF1",3
"AGK",3
"AGKP1",0
"AGL",3
"AGMAT",0
"AGMO",0
"AGO1",3
"AGO2",0
"AGO3",4
"AGO4",0
"AGPAT1",3
"AGPAT2",2
"AGPAT3",2
"AGPAT4",1
"AGPAT5",2
"AGPS",2
"AGR2",1
"AGRN",10
"AGT",0
"AGTPBP1",0
"AGTRAP",2
"AGXT",1
"AHCTF1",1
"AHCTF1P1",0
"AHCY",3
"AHCYL1",1
"AHCYL2",1
"AHDC1",27
"AHI1",1
"AHNAK",8
"AHNAK2",0
"AHR",5
"AHSA1",1
"AHSA2P",1
"AICDA",1
"AIDA",0
"AIDAP2",1
"AIF1L",7
"AIFM1",3
"AIFM1P1",1
"AIFM2",5
"AIG1",4
"AIM2",5
"AIMP1",0
"AIMP2",3
"AIP",0
"AIPL1",1
"AIRE",2
"AJ003147.11",0
"AJ006998.2",1
"AJ011931.2",1
"AJAP1",0
"AJM1",1
"AJUBA",8
"AK1",2
"AK2",3
"AK3",0
"AK3P3",0
"AK3P5",0
"AK4",2
"AK5",7
"AK6",0
"AK7",0
"AK8",5
"AK9",5
"AKAP1",3
"AKAP10",0
"AKAP11",0
"AKAP12",2
"AKAP13",0
"AKAP17BP",1
"AKAP1-DT",0
"AKAP3",3
"AKAP4",5
"AKAP5",0
"AKAP6",1
"AKAP7",0
"AKAP8",3
"AKAP8L",2
"AKAP9",0
"AKIP1",2
"AKIRIN1",0
"AKIRIN2",1
"AKNA",0
"AKNAD1",1
"AKR1A1",1
"AKR1B1",0
"AKR1B10",5
"AKR1C1",0
"AKR1C2",0
"AKR1C3",6
"AKR1C4",1
"AKR1C5P",6
"AKR1C6P",1
"AKR1C7P",5
"AKR1C8P",6
"AKR1D1",1
"AKR1E2",1
"AKR7A2",3
"AKR7A2P1",0
"AKR7L",1
"AKT1",2
"AKT1S1",1
"AKT2",3
"AKT3",0
"AKT3-IT1",0
"AKTIP",3
"AL049758.2",0
"AL132709.1",0
"AL133243.1",0
"AL133243.2",1
"AL133243.4",0
"AL163953.3",1
"AL591893.1",1
"ALAD",3
"ALAS1",1
"ALB",1
"ALCAM",2
"ALDH16A1",2
"ALDH18A1",3
"ALDH1A1",24
"ALDH1A2",1
"ALDH1A3",0
"ALDH1B1",3
"ALDH1L1",1
"ALDH1L2",1
"ALDH2",0
"ALDH3A1",9
"ALDH3A2",0
"ALDH3B1",0
"ALDH3B2",1
"ALDH4A1",0
"ALDH5A1",24
"ALDH6A1",0
"ALDH7A1",0
"ALDH8A1",1
"ALDH9A1",0
"ALDOA",1
"ALDOB",1
"ALDOC",0
"ALG1",2
"ALG10",2
"ALG10B",2
"ALG11",0
"ALG12",2
"ALG13",0
"ALG14",0
"ALG1L6P",0
"ALG1L9P",0
"ALG2",0
"ALG3",3
"ALG5",2
"ALG6",2
"ALG8",3
"ALG9",0
"ALK",1
"ALKAL2",0
"ALKBH1",1
"ALKBH2",3
"ALKBH3",3
"ALKBH3-AS1",0
"ALKBH4",2
"ALKBH5",0
"ALKBH6",0
"ALKBH7",0
"ALKBH8",3
"ALLC",1
"ALMS1",2
"ALMS1-IT1",1
"ALMS1P1",1
"ALOX12",5
"ALOX12-AS1",1
"ALOX12B",0
"ALOX12P2",1
"ALOX15B",1
"ALOX5",7
"ALOX5AP",18
"ALOXE3",0
"ALOXE3P1",0
"ALPK1",3
"ALPK2",1
"ALPK3",0
"ALPL",0
"ALS2",5
"ALS2CL",2
"ALX4",1
"ALYREF",0
"AMACR",0
"AMBP",1
"AMBRA1",0
"AMD1",1
"AMDHD2",0
"AMER1",3
"AMFR",1
"AMH",1
"AMIGO1",0
"AMIGO2",0
"AMMECR1",0
"AMMECR1L",3
"AMN",1
"AMN1",0
"AMOT",17
"AMOTL1",0
"AMOTL2",0
"AMPD1",1
"AMPD2",2
"AMPD3",5
"AMPH",0
"AMT",1
"AMY2B",1
"AMZ1",1
"AMZ2",3
"AMZ2P1",1
"ANAPC1",3
"ANAPC10",0
"ANAPC11",2
"ANAPC13",0
"ANAPC15",1
"ANAPC16",3
"ANAPC1P1",1
"ANAPC1P2",12
"ANAPC2",2
"ANAPC4",3
"ANAPC5",3
"ANAPC7",3
"ANG",0
"ANGEL1",11
"ANGEL2",0
"ANGPT1",1
"ANGPT2",0
"ANGPT4",1
"ANGPTL1",5
"ANGPTL2",2
"ANGPTL3",15
"ANGPTL4",2
"ANGPTL7",0
"ANGPTL8",0
"ANK1",0
"ANK2",1
"ANK3",1
"ANKAR",1
"ANKDD1A",1
"ANKDD1B",1
"ANKEF1",0
"ANKFN1",28
"ANKFY1",3
"ANKH",7
"ANKHD1",1
"ANKHD1-EIF4EBP3",15
"ANKIB1",2
"ANKLE1",1
"ANKLE2",2
"ANKMY1",0
"ANKMY2",1
"ANKRA2",2
"ANKRD1",8
"ANKRD10",3
"ANKRD10-IT1",0
"ANKRD11",0
