Name,Module
AC012368.1,2
AC012462.2,2
AC012513.4,2
AC012613.2,13
AC012668.2,9
AC013463.2,2
AC013733.4,2
AC015849.19,2
AC015923.1,2
AC015971.2,2
AC015987.1,2
AC016722.4,2
AC016738.4,14
AC016747.3,39
AC016831.6,2
AC017006.3,2
AC017074.2,3
AC017101.10,2
AC017104.2,2
AC017104.6,2
AC018462.2,2
AC018766.6,2
AC018816.3,2
AC018890.6,2
AC019186.1,2
AC020951.1,2
AC020956.3,2
AC021218.2,13
AC022007.5,16
AC022154.7,2
AC022182.1,2
AC022819.3,2
AC023137.2,2
AC023590.1,2
AC024084.1,2
AC024560.3,39
AC024592.9,2
AC024704.2,2
AC025171.1,0
AC025442.4,14
AC026202.3,2
AC026271.5,14
AC027601.1,2
AC034187.2,2
AC037445.1,2
AC046143.3,14
AC055764.1,2
AC058791.1,9
AC063976.7,2
AC064834.1,2
AC064875.2,2
AC067959.1,2
AC068522.4,2
AC068580.6,2
AC068831.18,2
AC069282.6,34
AC073063.10,2
AC073115.6,2
AC073130.1,23
AC073130.3,2
AC073254.1,2
AC073321.4,2
AC073333.8,2
AC073343.13,2
AC073621.2,26
AC074117.10,15
AC074286.1,13
AC074289.1,0
AC074366.3,2
AC074391.1,2
AC079145.4,2
AC079250.1,2
AC079305.10,2
AC079305.11,2
AC079305.8,0
AC079325.5,2
AC079613.1,2
AC079807.2,2
AC079807.4,2
AC079922.3,2
AC083843.1,7
AC083843.4,2
AC083884.8,2
AC083899.3,13
AC083900.1,2
AC084082.3,39
AC084219.4,2
AC087294.2,2
AC091132.1,2
AC091633.2,2
AC091633.3,2
AC092155.4,2
AC092162.1,2
AC092168.2,2
AC092295.4,2
AC092301.3,2
AC092431.3,2
AC092597.3,2
AC092614.2,2
AC092675.3,2
AC092835.2,0
AC092839.4,2
AC093110.3,26
AC093162.5,2
AC093323.3,3
AC093627.10,2
AC093627.9,34
AC093673.5,20
AC093690.1,2
AC093802.1,23
AC093818.1,13
AC093850.1,2
AC096574.4,2
AC096921.2,2
AC097468.4,2
AC097721.2,2
AC097724.3,2
AC098614.2,13
AC098872.3,2
AC099535.4,2
AC099552.3,2
AC099552.4,2
AC099684.1,2
AC099850.1,2
AC100830.3,2
AC104131.1,2
AC104530.1,2
AC104534.2,2
AC104653.1,2
AC104777.1,2
AC105053.3,2
AC105398.3,2
AC105760.2,34
AC106706.1,2
AC106869.2,2
AC107079.1,2
AC107081.5,2
AC108448.2,2
AC108463.2,2
AC108676.1,2
AC110769.3,2
AC110781.3,2
AC112229.1,2
AC112715.2,2
AC113189.5,20
AC115522.3,2
AC122136.2,14
AC123023.1,13
AC124789.1,2
AC125238.2,2
AC127904.2,2
AC128709.3,2
AC128709.4,2
AC135178.7,2
AC137723.5,2
AC137932.4,3
AC137932.5,3
AC137932.6,22
AC138035.2,2
AC139099.4,2
AC139100.3,13
AC139100.4,23
AC141586.5,20
AC142293.3,2
AC142472.6,26
AC144450.1,2
AC144450.2,13
AC144530.1,2
AC144831.1,2
AC144831.3,2
AC144833.1,2
AC145343.2,2
AC145676.2,2
AC147651.1,2
AC156455.1,0
AC159540.1,2
AC226118.1,2
ACAA1,9
ACAA2,24
ACACA,19
ACACB,22
ACAD10,39
ACAD11,2
ACAD8,24
ACAD9,5
ACADM,5
ACADS,29
ACADSB,39
ACADVL,13
ACAN,26
ACAP1,0
ACAP2,23
ACAP3,39
ACAT1,24
ACAT2,39
ACBD3,18
ACBD4,34
ACBD5,5
ACBD6,15
ACBD7,29
ACCS,23
ACCSL,2
ACD,18
ACE,7
ACE2,0
ACER2,9
ACER3,5
ACHE,39
ACIN1,36
ACKR1,29
ACKR2,2
ACKR3,12
ACKR4,29
ACLY,12
ACO1,36
ACO2,9
ACOD1,2
ACOT1,13
ACOT11,2
ACOT12,2
ACOT13,29
ACOT2,39
ACOT4,26
ACOT7,39
ACOT8,39
ACOT9,19
ACOX1,29
ACOX2,3
ACOX3,24
ACOXL,2
ACOXL-AS1,2
ACP1,18
ACP2,5
ACP4,16
ACP5,2
ACP6,0
ACR,2
ACRBP,7
ACRP1,2
ACSBG1,3
ACSBG2,2
ACSF2,15
ACSF3,24
ACSL1,29
ACSL3,12
ACSL4,12
ACSL5,5
ACSL6,2
ACSM1,2
ACSM3,16
ACSM5,2
ACSS1,0
ACSS2,24
ACSS3,2
ACTA1,3
ACTA2,2
ACTB,8
ACTBP4,2
ACTBP7,2
ACTC1,2
ACTG1,33
ACTG1P10,2
ACTG1P14,2
ACTG1P17,2
ACTG1P20,2
ACTG1P25,2
ACTG1P3,2
ACTG2,2
ACTL10,2
ACTL6A,14
ACTL7A,2
ACTN1,12
ACTN2,39
ACTN3,2
ACTN4,12
ACTR10,5
ACTR1A,13
ACTR1B,29
ACTR2,13
ACTR3,11
ACTR3B,22
ACTR3BP4,2
ACTR3C,2
ACTR5,9
ACTR6,28
ACTR8,5
ACTRT3,16
ACVR1,14
ACVR1B,36
ACVR1C,13
ACVR2A,24
ACVR2B,24
ACVR2B-AS1,2
ACVRL1,12
ACYP1,22
ACYP2,6
ADA,0
ADA2,9
ADAL,39
ADAM10,12
ADAM11,0
ADAM12,39
ADAM15,36
ADAM17,29
ADAM19,39
ADAM20,2
ADAM20P1,13
ADAM21,3
ADAM22,3
ADAM23,39
ADAM28,7
ADAM32,23
ADAM5,2
ADAM8,2
ADAM9,20
ADAMTS1,11
